5365956336237301|12|2022|756
5365956336205169|02|2025|210
5365956336276757|07|2025|484
5365956336288356|01|2023|388
5365956336266941|06|2026|448
5365956336242461|01|2026|358
5365956336232732|05|2020|738
5365956336246569|08|2025|914
5365956336258150|06|2023|310
5365956336295881|05|2020|544
5365956336200247|09|2025|237
5365956336270700|11|2023|237
5365956336220901|09|2024|820
5365956336242215|04|2023|747
5365956336210366|11|2023|562
5365956336271271|09|2023|430
5365956336232031|09|2022|457
5365956336286512|06|2026|193
5365956336289108|08|2023|123
5365956336214276|07|2025|125
5365956336214439|12|2021|183
5365956336232393|10|2020|451
5365956336253075|03|2026|266
5365956336220213|01|2023|539
5365956336206114|09|2026|350
5365956336278543|02|2021|669
5365956336210906|12|2021|213
5365956336276162|05|2025|743
5365956336218539|09|2024|237
5365956336235017|04|2026|778
